Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
3,105,DEN,Baron Browning,LB,22,2021,0,0,0,5,5,14,0,0,0,0,0,0,0,0,0,0,0,32,,,Ohio St.,College Stats,BrowBa01
4,106,JAX,Jay Tufele,DL,22,2021,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,,,USC,College Stats,TufeJa00
4,107,NYJ,Michael Carter,RB,22,2021,0,0,1,6,6,14,0,0,0,0,0,147,639,4,36,325,0,,,,North Carolina,College Stats,CartMi03
4,108,ATL,Darren Hall,CB,21,2021,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,21,,1.0,San Diego St.,College Stats,HallDa03
4,109,TEN,Dez Fitzpatrick,WR,23,2021,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,49,1,1,,,Louisville,College Stats,FitzDe00
4,110,CLE,James Hudson,OL,22,2021,0,0,0,2,2,12,0,0,0,0,0,0,0,0,0,0,0,,,,Cincinnati,College Stats,HudsJa00
4,111,CIN,Cameron Sample,DE,21,2021,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,9,,1.5,Tulane,College Stats,SampCa00
4,112,DET,Amon-Ra St. Brown,WR,21,2021,0,0,0,8,8,17,0,0,0,0,0,7,61,1,90,912,5,1,,,USC,College Stats,StxxAm00
4,113,DET,Derrick Barnes,DE,22,2021,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,42,,2.0,Purdue,College Stats,BarnDe02
4,114,ATL,Drew Dalman,C,22,2021,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,College Stats,DalmDr00
4,115,DAL,Jabril Cox,LB,23,2021,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,2,,,LSU,College Stats,CoxxJa00
4,116,NYG,Elerson Smith,DL,23,2021,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,2,,,Northern Iowa,,SmitEl00
