Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional
366,Jawill Davis,NYG,23,,7,0,8,4,40,0,3,36,9.0,4,1.0,15.9,0,,0,0.0,0,64.6,DaviJa07
367,Jacob Hollister,NWE,25,,8,1,5,4,52,0,2,36,9.0,16,4.0,8.2,0,,0,0.0,0,110.0,HollJa03
368,Tyler Kroft,CIN,26,,5,2,6,4,36,0,4,19,4.8,17,4.3,7.2,1,4.0,1,16.7,1,43.1,KrofTy00
369,Byron Marshall,WAS,24,,6,0,6,4,30,0,1,2,0.5,28,7.0,1.7,0,,0,0.0,0,78.5,MarsBy01
370,Roosevelt Nix,PIT,26,,16,0,6,4,38,0,2,-5,-1.3,43,10.8,1.5,0,,0,0.0,0,84.0,NixxRo01
371,Auden Tate,CIN,21,,7,0,12,4,35,0,2,33,8.3,2,0.5,10.2,0,,1,8.3,0,42.4,TateAu00
372,Robert Tonyan,GNB,24,,16,1,6,4,77,1,3,67,16.8,10,2.5,13.8,0,,1,16.7,0,149.3,TonyRo00
373,Delanie Walker,TEN,34,,1,1,7,4,52,0,3,32,8.0,20,5.0,6.6,0,,0,0.0,1,41.1,WalkHu00
374,Kevin White,CHI,26,,9,0,8,4,92,0,3,86,21.5,6,1.5,23.1,0,,0,0.0,0,91.7,WhitKe00
375,Bobo Wilson,TAM,23,,5,0,5,4,52,0,2,32,8.0,20,5.0,10.8,0,,0,0.0,0,110.0,WilsJe00
376,Javon Wims,CHI,24,,4,0,5,4,32,0,2,30,7.5,2,0.5,6.8,0,,0,0.0,0,93.3,WimsJa00
