Player,Tm,Age,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional,ProBowl,AllPro,Year,G_-1_year,GS_-1_year,Tgt_-1_year,Rec_-1_year,Yds_-1_year,TD_-1_year,G_-2_year,GS_-2_year,Tgt_-2_year,Rec_-2_year,Yds_-2_year,TD_-2_year,Rnd,Pick,Pos,YrsPlayed
Alex Collins,SEA,26,3,1,2,1,4,0,0.0,3,3.0,1,1.0,5.5,0,0.0,0,0.0,0,56.2,CollAl00,0,0,2020,,,,,,,10.0,10.0,21.0,15.0,105.0,1.0,5.0,171.0,RB,4
Jason Croom,PHI,26,4,0,1,1,3,1,1.0,3,3.0,0,0.0,3.0,0,0.0,0,0.0,0,118.7,CrooJa00,0,0,2020,,,,,,,15.0,3.0,35.0,22.0,259.0,1.0,8.0,260.0,TE,2
Gehrig Dieter,KAN,27,4,0,2,1,10,0,1.0,5,5.0,5,5.0,7.5,0,0.0,0,0.0,0,64.6,DietGe00,0,0,2020,,,,,,,4.0,0.0,3.0,1.0,22.0,0.0,8.0,260.0,WR,2
Brandon Dillon,MIN,23,3,0,1,1,6,0,0.0,5,5.0,1,1.0,5.0,0,0.0,0,0.0,0,91.7,DillBr00,0,0,2020,,,,,,,16.0,10.0,7.0,4.0,49.0,0.0,8.0,260.0,TE,1
D'Onta Foreman,TEN,24,6,0,1,1,5,1,1.0,2,2.0,3,3.0,2.0,0,0.0,0,0.0,0,127.1,ForeDO00,0,0,2020,,,,,,,1.0,0.0,2.0,2.0,28.0,1.0,3.0,89.0,RB,3
D.J. Foster,ARI,27,10,0,1,1,7,0,1.0,4,4.0,3,3.0,4.0,0,0.0,0,0.0,0,95.8,FostD.01,0,0,2020,,,,,,,,,,,,,8.0,260.0,RB,4
Cullen Gillaspia,HOU,25,7,0,1,1,6,0,0.0,-2,-2.0,8,8.0,-2.0,0,0.0,0,0.0,0,91.7,GillCu00,0,0,2020,,,,,,,16.0,10.0,7.0,5.0,39.0,0.0,7.0,220.0,RB,1
Temarrick Hemingway,WAS,27,8,0,2,1,10,0,1.0,4,4.0,6,6.0,3.5,0,0.0,0,0.0,0,64.6,HemiTe00,0,0,2020,,,,,,,,,,,,,6.0,177.0,TE,4
Buddy Howell,HOU,24,14,0,2,1,3,0,0.0,-4,-4.0,7,7.0,9.5,0,0.0,1,50.0,0,56.2,HoweGr00,0,0,2020,,,,,,,,,,,,,8.0,260.0,RB,2
Trenton Irwin,CIN,25,1,0,2,1,5,0,0.0,4,4.0,1,1.0,6.0,0,0.0,1,50.0,0,56.2,IrwiTr00,0,0,2020,,,,,,,16.0,10.0,14.0,8.0,106.0,1.0,8.0,260.0,WR,1
Marcus Kemp,2TM,25,11,0,1,1,11,0,1.0,1,1.0,10,10.0,1.0,0,0.0,0,0.0,0,112.5,KempMa00,0,0,2020,,,,,,,16.0,0.0,2.0,1.0,7.0,0.0,8.0,260.0,WR,3
Keith Kirkwood,CAR,26,1,0,2,1,13,0,0.0,4,4.0,9,9.0,16.0,1,1.0,0,0.0,0,70.8,KirkKe00,0,0,2020,,,,,,,8.0,1.0,21.0,13.0,209.0,2.0,8.0,260.0,WR,2
Tommylee Lewis,NOR,28,5,0,3,1,5,0,0.0,5,5.0,0,0.0,12.7,0,0.0,1,33.3,0,42.4,LewiTo00,0,0,2020,,,,,,,7.0,3.0,3.0,3.0,60.0,1.0,8.0,260.0,WR,4
Craig Reynolds,JAX,24,2,0,1,1,3,0,0.0,1,1.0,2,2.0,1.0,0,0.0,0,0.0,0,79.2,ReynCr00,0,0,2020,,,,,,,16.0,10.0,10.0,7.0,57.0,0.0,8.0,260.0,RB,1
Jaleel Scott,NYJ,25,1,1,1,1,16,0,1.0,13,13.0,3,3.0,13.0,0,0.0,0,0.0,0,118.7,ScotJa02,0,0,2020,3.0,0.0,3.0,1.0,6.0,0.0,,,,,,,4.0,132.0,WR,2
Austin Walter,SFO,24,4,0,1,1,27,0,1.0,-6,-6.0,33,33.0,-6.0,0,0.0,0,0.0,0,118.7,WaltAu00,0,0,2020,,,,,,,16.0,10.0,10.0,7.0,57.0,0.0,8.0,260.0,RB,1
