Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional,Year,G19,GS19,Tgt19,Rec19,Yds19,TD19,G18,GS18,Tgt18,Rec18,Yds18,TD18
58,T.Y. Hilton,IND,31,WR,15,15,93,56,762,5,42.0,568,10.1,194,3.5,12.5,3,18.7,3,3.2,3,90.9,HiltT.00,2020,10.0,10.0,68.0,45.0,501.0,5.0,14.0,14.0,120.0,76.0,1270.0,6.0
59,Hayden Hurst,ATL,27,TE,16,9,88,56,571,6,35.0,326,5.8,245,4.4,6.8,2,28.0,4,4.5,2,95.4,HursHa00,2020,16.0,4.0,39.0,30.0,349.0,2.0,12.0,0.0,23.0,13.0,163.0,1.0
60,Hunter Renfrow,LVR,25,WR,16,6,77,56,656,2,32.0,318,5.7,338,6.0,7.1,5,11.2,2,2.6,0,106.8,RenfHu00,2020,13.0,4.0,71.0,49.0,605.0,4.0,,,,,,
61,Keelan Cole,JAX,27,WR,16,5,88,55,642,5,34.0,468,8.5,174,3.2,10.9,2,27.5,6,6.8,1,98.8,ColeKe00,2020,16.0,1.0,35.0,24.0,361.0,3.0,16.0,11.0,70.0,38.0,491.0,1.0
62,Austin Ekeler,LAC,25,RB,10,10,65,54,403,2,20.0,-70,-1.3,473,8.8,-1.2,7,7.7,2,3.1,0,102.8,EkelAu00,2020,16.0,8.0,108.0,92.0,993.0,8.0,14.0,3.0,53.0,39.0,404.0,3.0
63,Larry Fitzgerald,ARI,37,WR,13,13,72,54,409,1,25.0,224,4.1,185,3.4,6.0,0,,1,1.4,2,81.3,FitzLa00,2020,16.0,16.0,109.0,75.0,804.0,4.0,16.0,16.0,112.0,69.0,734.0,6.0
64,David Montgomery,CHI,23,RB,15,14,68,54,438,2,25.0,42,0.8,396,7.3,0.9,11,4.9,3,4.4,0,103.3,MontDa01,2020,16.0,8.0,35.0,25.0,185.0,1.0,,,,,,
65,DJ Chark,JAX,24,WR,13,12,93,53,706,5,37.0,541,10.2,165,3.1,14.0,0,,2,2.2,5,76.7,CharDJ00,2020,15.0,14.0,118.0,73.0,1008.0,8.0,11.0,0.0,32.0,14.0,174.0,0.0
66,Chase Edmonds,ARI,24,,16,2,67,53,402,4,21.0,76,1.4,326,6.2,2.0,6,8.8,1,1.5,0,111.6,EdmoCh00,2020,13.0,2.0,21.0,12.0,105.0,1.0,16.0,0.0,23.0,20.0,103.0,0.0
67,Will Fuller,HOU,26,WR,11,11,75,53,879,8,38.0,588,11.1,291,5.5,12.5,4,13.3,3,4.0,2,134.2,FullWi01,2020,11.0,11.0,71.0,49.0,670.0,3.0,7.0,7.0,45.0,32.0,503.0,4.0
68,Mike Gesicki,MIA,25,TE,15,9,85,53,703,6,36.0,536,10.1,167,3.2,11.1,0,,2,2.4,3,97.3,GesiMi00,2020,16.0,5.0,89.0,51.0,570.0,5.0,16.0,7.0,32.0,22.0,202.0,0.0
69,Greg Ward,PHI,25,WR,16,10,79,53,419,6,24.0,255,4.8,164,3.1,5.6,1,53.0,2,2.5,2,94.9,WardGr02,2020,7.0,3.0,40.0,28.0,254.0,1.0,,,,,,
70,Ezekiel Elliott,DAL,25,RB,15,15,71,52,338,2,20.0,-22,-0.4,360,6.9,-0.2,2,26.0,8,11.3,3,74.7,ElliEz00,2020,16.0,16.0,71.0,54.0,420.0,2.0,15.0,15.0,95.0,77.0,567.0,3.0
71,Jerry Jeudy,DEN,21,WR,16,14,113,52,856,3,39.0,572,11.0,284,5.5,13.5,5,10.4,10,8.8,6,58.7,JeudJe00,2020,,,,,,,,,,,,
72,Josh Reynolds,LAR,25,WR,16,13,81,52,618,2,31.0,393,7.6,225,4.3,10.9,2,26.0,3,3.7,2,85.3,ReynJo00,2020,16.0,2.0,43.0,21.0,326.0,1.0,16.0,8.0,53.0,29.0,402.0,5.0
73,Robert Tonyan,GNB,26,TE,16,8,59,52,586,11,33.0,363,7.0,223,4.3,7.7,0,,0,0.0,0,147.6,TonyRo00,2020,11.0,1.0,15.0,10.0,100.0,1.0,16.0,1.0,6.0,4.0,77.0,1.0
74,Julio Jones,ATL,31,WR,9,9,68,51,771,3,36.0,540,10.6,231,4.5,11.2,7,7.3,3,4.4,0,126.5,JoneJu02,2020,15.0,15.0,157.0,99.0,1394.0,6.0,16.0,16.0,170.0,113.0,1677.0,8.0
75,Tim Patrick,DEN,27,WR,15,15,79,51,742,6,33.0,504,9.9,238,4.7,12.5,3,17.0,0,0.0,3,104.5,PatrTi00,2020,8.0,2.0,31.0,16.0,218.0,0.0,16.0,4.0,41.0,23.0,315.0,1.0
76,Jimmy Graham,CHI,34,TE,16,15,76,50,456,8,32.0,258,5.2,198,4.0,6.8,1,50.0,1,1.3,3,100.5,GrahJi00,2020,16.0,10.0,60.0,38.0,447.0,3.0,16.0,12.0,89.0,55.0,636.0,2.0
77,Darius Slayton,NYG,23,WR,16,15,96,50,751,3,40.0,592,11.8,159,3.2,13.6,1,50.0,6,6.3,2,79.8,SlayDa01,2020,14.0,9.0,84.0,48.0,740.0,8.0,,,,,,
78,Kendrick Bourne,SFO,25,WR,15,5,74,49,667,2,35.0,448,9.1,219,4.5,9.3,3,16.3,6,8.1,2,92.6,BourKe00,2020,16.0,0.0,44.0,30.0,358.0,5.0,16.0,8.0,66.0,42.0,487.0,4.0
79,Anthony Miller,CHI,26,WR,16,6,76,49,485,2,23.0,337,6.9,148,3.0,9.7,1,49.0,4,5.3,3,74.7,MillAn02,2020,16.0,7.0,85.0,52.0,656.0,2.0,15.0,4.0,54.0,33.0,423.0,7.0
80,James Robinson,JAX,22,RB,14,14,60,49,344,3,15.0,-39,-0.8,383,7.8,-0.8,5,9.8,2,3.3,0,107.2,RobiJa00,2020,,,,,,,,,,,,
81,James White,NWE,28,,14,0,62,49,375,1,20.0,-36,-0.7,411,8.4,-0.6,2,24.5,3,4.8,1,90.5,WhitJa02,2020,15.0,1.0,95.0,72.0,645.0,5.0,16.0,3.0,123.0,87.0,751.0,7.0
82,Nelson Agholor,LVR,27,WR,16,13,82,48,896,8,37.0,666,13.9,230,4.8,15.5,3,16.0,5,6.1,3,113.7,AghoNe00,2020,11.0,10.0,69.0,39.0,363.0,3.0,16.0,16.0,97.0,64.0,736.0,4.0
83,Christian Kirk,ARI,24,WR,14,10,79,48,621,6,30.0,446,9.3,175,3.6,11.8,1,48.0,2,2.5,3,95.0,KirkCh01,2020,13.0,13.0,108.0,68.0,709.0,3.0,12.0,7.0,68.0,43.0,590.0,3.0
84,George Kittle,SFO,27,TE,8,8,63,48,634,2,32.0,337,7.0,297,6.2,7.3,1,48.0,5,7.9,2,104.9,KittGe00,2020,14.0,14.0,107.0,85.0,1053.0,5.0,16.0,16.0,136.0,88.0,1377.0,5.0
85,Mike Williams,LAC,26,WR,15,11,85,48,756,5,35.0,594,12.4,162,3.4,14.5,0,,3,3.5,2,96.0,WillMi07,2020,15.0,15.0,90.0,49.0,1001.0,2.0,16.0,5.0,66.0,43.0,664.0,10.0
86,Giovani Bernard,CIN,29,RB,16,10,59,47,355,3,15.0,5,0.1,350,7.4,1.3,2,23.5,4,6.8,1,101.6,BernGi00,2020,16.0,2.0,43.0,30.0,234.0,0.0,12.0,4.0,48.0,35.0,218.0,0.0
87,Damiere Byrd,NWE,27,WR,16,14,77,47,604,1,29.0,432,9.2,172,3.7,11.5,3,15.7,4,5.2,3,73.7,ByrdDa00,2020,11.0,3.0,46.0,32.0,359.0,1.0,8.0,0.0,2.0,1.0,8.0,0.0
88,A.J. Green,CIN,32,WR,16,14,104,47,523,2,34.0,437,9.3,86,1.8,13.7,2,23.5,3,2.9,3,55.1,GreeA.00,2020,,,,,,,9.0,9.0,77.0,46.0,694.0,6.0
89,Aaron Jones*,GNB,26,RB,14,14,63,47,355,2,15.0,-10,-0.2,365,7.8,1.2,6,7.8,4,6.3,0,98.3,JoneAa00,2020,16.0,16.0,68.0,49.0,474.0,3.0,12.0,8.0,35.0,26.0,206.0,1.0
90,Danny Amendola,DET,35,WR,14,5,69,46,602,0,30.0,312,6.8,290,6.3,8.1,5,9.2,2,2.9,2,81.9,AmenDa00,2020,15.0,10.0,97.0,62.0,678.0,1.0,15.0,15.0,79.0,59.0,575.0,1.0
91,Dallas Goedert,PHI,25,TE,11,9,65,46,524,3,28.0,318,6.9,206,4.5,8.5,6,7.7,1,1.5,1,103.6,GoedDa00,2020,15.0,9.0,87.0,58.0,607.0,5.0,16.0,8.0,44.0,33.0,334.0,4.0
92,Austin Hooper,CLE,26,TE,13,13,70,46,435,4,27.0,261,5.7,174,3.8,6.4,1,46.0,2,2.9,1,95.8,HoopAu00,2020,13.0,10.0,97.0,75.0,787.0,6.0,16.0,7.0,88.0,71.0,660.0,4.0
93,D'Andre Swift,DET,21,,13,4,57,46,357,2,15.0,6,0.1,351,7.6,0.9,2,23.0,5,8.8,0,104.5,SwifDA00,2020,,,,,,,,,,,,
94,Antonio Brown,TAM,32,,8,4,62,45,483,4,27.0,232,5.2,251,5.6,8.9,3,15.0,0,0.0,1,109.8,BrowAn04,2020,1.0,0.0,8.0,4.0,56.0,1.0,15.0,15.0,168.0,104.0,1297.0,15.0
95,Rob Gronkowski,TAM,31,TE,16,16,77,45,623,7,29.0,377,8.4,246,5.5,11.0,1,45.0,2,2.6,2,104.0,GronRo00,2020,,,,,,,13.0,11.0,72.0,47.0,682.0,3.0
